"Zeit","anomalies"
1907-08-01,-0.457
1907-09-01,-0.273
1907-10-01,0.047
1907-11-01,-0.845
1907-12-01,-0.515
1908-01-01,-0.142
1908-02-01,-0.306
1908-03-01,-1.045
1908-04-01,-0.502
1908-05-01,-0.348
1908-06-01,-0.21
1908-07-01,-0.323
1908-08-01,-0.407
1908-09-01,-0.101
1908-10-01,-0.438
1908-11-01,-0.923
1908-12-01,-0.456
1909-01-01,-0.678
1909-02-01,-0.536
1909-03-01,-0.999
1909-04-01,-0.894
1909-05-01,-0.689
1909-06-01,-0.418
1909-07-01,-0.364
1909-08-01,-0.004
1909-09-01,0.058
1909-10-01,0.044
1909-11-01,0.24
1909-12-01,-0.538
1910-01-01,0.131
1910-02-01,-0.318
1910-03-01,-0.073
1910-04-01,-0.175
1910-05-01,-0.318
1910-06-01,-0.34
1910-07-01,-0.115
1910-08-01,-0.261
1910-09-01,-0.295
1910-10-01,-0.175
1910-11-01,-0.794
1910-12-01,-0.72
1911-01-01,-0.598
1911-02-01,-0.991
1911-03-01,-0.867
1911-04-01,-0.667
1911-05-01,-0.291
1911-06-01,-0.107
1911-07-01,-0.144
1911-08-01,-0.081
1911-09-01,-0.022
1911-10-01,-0.301
1911-11-01,-0.16
1911-12-01,-0.002
1912-01-01,-0.666
1912-02-01,-0.076
1912-03-01,-0.799
1912-04-01,-0.477
1912-05-01,-0.242
1912-06-01,-0.011
1912-07-01,-0.581
1912-08-01,-0.792
1912-09-01,-0.872
1912-10-01,-1.091
1912-11-01,-0.677
1912-12-01,-0.353
1913-01-01,-0.218
1913-02-01,-0.878
1913-03-01,-0.633
1913-04-01,-0.246
1913-05-01,-0.712
1913-06-01,-0.599
1913-07-01,-0.509
1913-08-01,-0.115
1913-09-01,-0.241
1913-10-01,-0.413
1913-11-01,0.335
1913-12-01,0.42
1914-01-01,0.763
1914-02-01,0.231
1914-03-01,-0.169
1914-04-01,-0.474
1914-05-01,-0.076
1914-06-01,-0.156
1914-07-01,-0.132
1914-08-01,-0.146
1914-09-01,-0.213
1914-10-01,-0.011
1914-11-01,-0.425
1914-12-01,-0.4
1915-01-01,0.068
1915-02-01,0.289
1915-03-01,-0.889
1915-04-01,0.106
1915-05-01,-0.214
1915-06-01,-0.128
1915-07-01,-0.134
1915-08-01,-0.137
1915-09-01,-0.141
1915-10-01,-0.239
1915-11-01,0.037
1915-12-01,0.042
1916-01-01,0.22
1916-02-01,-0.084
1916-03-01,-0.926
1916-04-01,-0.328
1916-05-01,-0.464
1916-06-01,-0.555
1916-07-01,-0.019
1916-08-01,-0.175
1916-09-01,-0.468
1916-10-01,-0.334
1916-11-01,-0.238
1916-12-01,-1.005
1917-01-01,-0.657
1917-02-01,-1.337
1917-03-01,-1.442
1917-04-01,-0.691
1917-05-01,-1.103
1917-06-01,-0.342
1917-07-01,-0.092
1917-08-01,-0.049
1917-09-01,-0.017
1917-10-01,-0.608
1917-11-01,-0.109
1917-12-01,-1.594
1918-01-01,-0.786
1918-02-01,-0.44
1918-03-01,-0.382
1918-04-01,-0.675
1918-05-01,-0.75
1918-06-01,-0.522
1918-07-01,-0.248
1918-08-01,-0.295
1918-09-01,-0.147
1918-10-01,0.337
1918-11-01,-0.295
1918-12-01,-0.441
1919-01-01,-0.028
1919-02-01,-0.33
1919-03-01,-0.736
1919-04-01,-0.238
